n	x	y	t	dx	dy	dt
3	17.175368	17.043222	0.52	-0.0011459999999985369	-0.04429100000000119	0.020000000000000014
4	16.116152	16.279736	14.72	0.04636200000000201	-0.024125000000001503	0.01999999999999957
6	16.38636	15.382314	15.62	0.21829899999999824	0.08523699999999934	0.02000000000000135
6	16.604658999999998	15.467551	15.64	-0.04136799999999852	0.16524100000000175	0.01999999999999957
6	16.563291	15.632792000000002	15.66	-0.019448000000000576	-0.07146700000000195	0.01999999999999957
6	16.543843	15.561325	15.68	-0.0638910000000017	-0.07284500000000094	0.01999999999999957
6	16.479951999999994	15.48848	15.7	-0.018452999999997388	-0.03771999999999842	0.02000000000000135
6	16.461499	15.45076	15.72	-0.04386900000000082	-0.231503	0.01999999999999957
6	16.41763	15.219257	15.74	-0.023288999999998342	-0.04476000000000013	0.01999999999999957
6	16.394341	15.174497	15.76	0.029875000000000537	-0.07950000000000124	0.01999999999999957
7	15.90868	15.016716	16.8	-0.06456199999999868	-0.02713600000000227	0.01999999999999957
8	16.630701000000002	15.491283	18.38	0.07434199999999791	0.12690600000000174	0.01999999999999957
8	16.705043	15.618189	18.4	0.08685600000000092	0.02658399999999972	0.02000000000000313
9	16.608368	15.506589000000002	18.54	0.22521400000000116	-0.2378580000000028	0.01999999999999957
9	16.833582	15.268731	18.56	0.10017799999999966	-0.2089040000000004	0.01999999999999957
9	16.93376	15.059827	18.58	-0.10157099999999986	0.0688070000000014	0.02000000000000313
10	16.054035	15.311223000000002	19.28	-0.1024729999999998	-0.03256300000000145	0.01999999999999957
10	15.951562	15.27866	19.3	0.05075300000000027	0.10716099999999963	0.01999999999999957
13	16.597222	15.434507	22.74	-0.03517999999999688	-0.11200999999999972	0.02000000000000313
15	16.03343	16.967798000000002	23.1	0.017063000000000272	-0.23147300000000115	0.01999999999999957
15	16.050493	16.736325	23.12	-0.036868999999999374	0.0774000000000008	0.01999999999999957
15	16.013624	16.813725	23.14	0.04564799999999991	-0.06348500000000358	0.01999999999999957
15	16.059272	16.750239999999998	23.16	-0.10965199999999876	0.05422200000000288	0.01999999999999957
15	15.94962	16.804462	23.18	0.02142299999999864	-0.05286999999999864	0.01999999999999957
15	15.971043	16.751592000000002	23.2	-0.030550999999999107	-0.1366189999999996	0.01999999999999957
15	15.940492	16.614973000000006	23.22	0.05179000000000045	-0.052362000000005786	0.01999999999999957
15	15.992282	16.562610999999997	23.24	-0.06358300000000128	0.027951000000001613	0.02000000000000313
15	15.928699	16.590562	23.26	0.12324499999999895	0.0034760000000026987	0.01999999999999957
15	16.051944	16.594038	23.28	-0.11364299999999795	-0.0485439999999997	0.01999999999999957
15	15.938301	16.545494	23.3	0.001959999999996853	-0.05102199999999968	0.01999999999999957
15	15.940260999999998	16.494472000000002	23.32	-0.10919799999999746	0.00016299999999702663	0.01999999999999957
16	16.437533	15.076246	24.36	0.02869100000000202	-0.028828000000000745	0.01999999999999957
17	16.002494	16.23365	24.48	-0.02999799999999908	0.11429400000000099	0.01999999999999957
17	15.972496	16.347944000000002	24.5	0.06756999999999991	0.04854999999999876	0.01999999999999957
19	15.989223999999998	15.641473	25.34	-0.02596799999999888	-0.07724100000000078	0.01999999999999957
19	15.963256	15.564232	25.36	0.08642099999999964	0.08520099999999786	0.01999999999999957
20	16.297079999999998	15.412052	28.1	0.17161300000000068	0.02599200000000046	0.01999999999999957
20	16.468693	15.438044	28.12	0.07478900000000266	0.014495000000001925	0.01999999999999957
20	16.543482	15.452539000000002	28.14	-0.27309299999999936	0.05427699999999902	0.01999999999999957
20	16.270389	15.506816	28.16	-0.04281600000000197	-0.11181900000000056	0.01999999999999957
20	16.227573	15.394997	28.18	0.1123820000000002	0.0266099999999998	0.01999999999999957
21	16.136382	16.785054000000002	28.34	0.031915999999998945	0.05221199999999726	0.01999999999999957
22	16.843341	15.332085	28.52	-0.14589899999999645	-0.01751600000000053	0.01999999999999957
25	16.101979	16.647738	29.06	0.02560300000000026	0.035979000000001087	0.01999999999999957
26	16.229403	16.679902	29.14	-0.0926089999999995	0.014631000000001391	0.01999999999999957
26	16.136794000000002	16.694533	29.16	0.01530699999999996	0.18450900000000206	0.01999999999999957
26	16.152101000000002	16.879042000000002	29.18	-0.015271000000002031	-0.06848700000000463	0.01999999999999957
26	16.13683	16.810554999999994	29.2	0.04633600000000016	-0.053312999999995725	0.01999999999999957
26	16.183166	16.757242	29.22	-0.07153999999999883	-0.05442599999999942	0.01999999999999957
26	16.111626	16.702816000000002	29.24	0.04098499999999916	-0.1525180000000006	0.02000000000000313
26	16.152611	16.550298	29.26	-0.07835000000000036	0.07134499999999733	0.01999999999999957
26	16.074261	16.621643	29.28	0.04693100000000072	-0.0555919999999972	0.01999999999999957
26	16.121192	16.566051	29.3	0.047087999999998686	0.034797000000001084	0.01999999999999957
26	16.16828	16.600848000000006	29.32	0.007811000000000234	0.09538399999999923	0.01999999999999957
26	16.176091	16.696232000000002	29.34	0.053768000000001585	0.13466399999999726	0.01999999999999957
26	16.229859	16.830896	29.36	0.08767399999999625	-0.04297899999999899	0.01999999999999957
26	16.317532999999994	16.787917	29.38	0.004934000000002214	0.0947819999999986	0.01999999999999957
27	18.377469	15.416171	29.16	0.1005919999999989	0.018931000000000253	0.01999999999999957
28	18.360314	15.502199	29.2	0.16152099999999692	-0.04943599999999826	0.01999999999999957
29	18.398966	15.444	29.36	-0.01791600000000315	-0.06444700000000125	0.01999999999999957
29	18.38105	15.379553	29.38	0.09299800000000147	0.05421100000000223	0.01999999999999957
30	16.153620999999998	16.529872	29.44	-0.03613799999999756	0.030554999999999662	0.01999999999999957
30	16.117483	16.560427	29.46	0.10595900000000212	0.19165299999999874	0.01999999999999957
31	16.136242000000006	16.382794	29.52	0.04529399999999484	-0.08081199999999811	0.01999999999999957
31	16.181535999999998	16.301982000000002	29.54	-0.13775799999999805	-0.00792000000000215	0.01999999999999957
33	15.915674	16.022437	29.6	0.04473400000000005	-0.10522399999999976	0.01999999999999957
35	15.999385	16.483706	29.74	-0.060111000000000914	-0.1437570000000008	0.02000000000000313
35	15.939274	16.339949	29.76	-0.2070880000000006	-0.041786000000001884	0.01999999999999957
38	18.360232	15.448416	31.82	0.10314699999999988	0.022101999999998508	0.01999999999999957
39	18.375328	15.433419	32.08	0.06718100000000149	0.02056199999999997	0.02000000000000313
41	15.989555	15.145417000000002	32.1	0.034285000000000565	0.0022859999999980123	0.019999999999996017
41	16.02384	15.147703	32.12	0.09524000000000044	-0.03104500000000065	0.02000000000000313
41	16.11908	15.116658	32.14	0.016501999999999132	-0.008365999999998763	0.019999999999996017
41	16.135582	15.108292	32.16	0.13234100000000024	-0.13703800000000044	0.02000000000000313
42	16.30787	15.027659	32.2	-0.23319300000000354	-0.05760700000000085	0.019999999999996017
43	15.928097	15.097963	32.32	0.053164999999999914	0.1108810000000009	0.02000000000000313
